Stock,ModelVersion,RMSE_Basic,RMSE_WithIndicators,RMSE_Diff,Improved_%,Improved
AES,GradientBoosting_v1,0.20467471238773507,0.2159436396981632,-0.011268927310428112,-5.505774103192726,False
F,GradientBoosting_v1,0.34634687554899957,0.4435546829050717,-0.09720780735607215,-28.066604383823766,False
CHK,GradientBoosting_v1,0.32106091502792433,0.5916510800398417,-0.27059016501191735,-84.2800080440756,False
CA,GradientBoosting_v1,0.5048938756174411,0.5921130550043091,-0.08721917938686796,-17.274754874023085,False
ADM,GradientBoosting_v1,0.6511815686276421,0.6608267471886512,-0.009645178561009105,-1.4811811368273538,False
AES,GradientBoosting_v2,0.2048485011906152,0.2321313970807985,-0.02728289589018329,-13.318572375004132,False
F,GradientBoosting_v2,0.33257588444460745,0.4115558853608916,-0.07898000091628415,-23.747963881439745,False
CHK,GradientBoosting_v2,0.3323936631925072,0.6211526184246907,-0.28875895523218353,-86.87258128171582,False
ADM,GradientBoosting_v2,0.6542672547036106,0.6813096820770913,-0.027042427373480726,-4.1332387000983575,False
CA,GradientBoosting_v2,0.4831743690672821,0.6920049426122102,-0.20883057354492812,-43.22054043306433,False
AES,GradientBoosting_v3,0.22651865729444937,0.23204427483559445,-0.005525617541145084,-2.439365307539497,False
CA,GradientBoosting_v3,0.511652335868487,0.6559319458565602,-0.1442796099880732,-28.19875917172755,False
ADM,GradientBoosting_v3,0.6810787131658691,0.7241405976091537,-0.043061884443284626,-6.322600253224679,False
CHK,GradientBoosting_v3,0.36697503497561107,0.7956684293550652,-0.42869339437945414,-116.81813570995227,False
FE,GradientBoosting_v3,0.6071397554541579,0.8153677524263955,-0.2082279969722376,-34.29655118144538,False
AES,Lasso_v1,0.20026500996943802,0.20026500996943802,0.0,0.0,False
CHK,Lasso_v1,0.24437597522674676,0.24417140311212748,0.0002045721146192725,0.08371204019931099,True
F,Lasso_v1,0.25174485538601044,0.25174121923396287,3.6361520475702847e-06,0.0014443798829552356,True
CNP,Lasso_v1,0.3083124488036887,0.30831230255068703,1.4625300165382882e-07,4.743661899521685e-05,True
DRE,Lasso_v1,0.38512722611152694,0.3851269371914073,2.8892011966208386e-07,7.501939620815513e-05,True
AES,Lasso_v2,0.19395022791309804,0.19417562803303343,-0.00022540011993538167,-0.11621544473583974,False
F,Lasso_v2,0.20038072986768665,0.21101962171684835,-0.010638891849161697,-5.309338805276665,False
CHK,Lasso_v2,0.24608922659172702,0.24360866071838438,0.0024805658733426383,1.00799450170893,True
CNP,Lasso_v2,0.2822721774141855,0.2809959761884263,0.001276201225759166,0.45211725698582117,True
DRE,Lasso_v2,0.3273054170960099,0.3239780113937303,0.003327405702279629,1.0166057536724442,True
AES,Lasso_v3,0.19362777224102745,0.19364403410888595,-1.6261867858496926e-05,-0.008398520351850243,False
F,Lasso_v3,0.1955433636587403,0.20766148217596037,-0.012118118517220056,-6.197151511809133,False
CHK,Lasso_v3,0.24739359687740864,0.24612068699482334,0.0012729098825852991,0.5145282249225174,True
CNP,Lasso_v3,0.28030050160936054,0.2799165190625727,0.00038398254678784216,0.13698960386556056,True
DRE,Lasso_v3,0.3274111405323509,0.3217170098683171,0.005694130664033792,1.7391377259721452,True
AES,Linear_v1,0.18626584120148726,0.19092339884471768,-0.00465755764323042,-2.500489415121612,False
F,Linear_v1,0.19483702536784245,0.22523863434926314,-0.03040160898142069,-15.603609695859396,False
CHK,Linear_v1,0.23794829103378493,0.23703178329282504,0.0009165077409598876,0.38517097012046114,True
CNP,Linear_v1,0.26554938818402707,0.265105225690011,0.000444162494016076,0.16726172749013044,True
DRE,Linear_v1,0.3184238431333017,0.31243035847857464,0.005993484654727044,1.8822348840937746,True
ADM,Linear_v2,0.6179819613481367,2.684799841983305,-2.0668178806351682,-334.44631233675085,False
CNP,Linear_v2,1.0673994237141113,4.1269505495721335,-3.059551125858022,-286.63601065213635,False
DAL,Linear_v2,0.9876449162515267,4.200812102784753,-3.2131671865332265,-325.3362755845866,False
TXT,Linear_v2,1.952600547851632,4.393857830176827,-2.4412572823251955,-125.02594475921934,False
F,Linear_v2,0.41403356022022353,4.704493727436155,-4.290460167215931,-1036.2590329474367,False
ADM,Linear_v3,37.21584861844066,11.915382132676386,25.300466485764275,67.98304331350852,True
DAL,Linear_v3,18.045060690518717,26.615401250531292,-8.570340560012575,-47.49410770624687,False
CBS,Linear_v3,20.003390784454925,36.009392430350516,-16.00600164589559,-80.0164423040428,False
AES,Linear_v3,209.13418516659385,39.84297028917033,169.29121487742353,80.94860949804458,True
CNP,Linear_v3,542.3285574196397,40.00066892347255,502.3278884961671,92.62427390624737,True
AES,RandomForest_v1,0.21298272396391038,0.22227390701794222,-0.009291183054031843,-4.362411598983127,False
CHK,RandomForest_v1,0.35550196157619857,0.4675288651728744,-0.11202690359667583,-31.51231658469032,False
CA,RandomForest_v1,0.48644442676345706,0.5032193406139535,-0.016774913850496398,-3.4484748776150584,False
F,RandomForest_v1,0.33037956659850887,0.536187807212016,-0.2058082406135071,-62.294482292730265,False
FE,RandomForest_v1,0.5555663963914741,0.6683094787576254,-0.11274308236615127,-20.293358831355242,False
AES,RandomForest_v2,0.21562698231782795,0.21770038503057587,-0.002073402712747918,-0.9615692296299831,False
CHK,RandomForest_v2,0.3464542498878033,0.47512770951036004,-0.12867345962255672,-37.14010137391205,False
CA,RandomForest_v2,0.4870889911623746,0.5098602482124618,-0.0227712570500872,-4.674968530031146,False
F,RandomForest_v2,0.3328636858962642,0.5674055364865495,-0.23454185059028526,-70.46183183328067,False
FE,RandomForest_v2,0.5624787894935602,0.6840710413768615,-0.12159225188330125,-21.617215467409792,False
AES,RandomForest_v3,0.217559995738874,0.23052628142132522,-0.012966285682451228,-5.959866674208796,False
CHK,RandomForest_v3,0.3714933787037599,0.4960127806074716,-0.12451940190371169,-33.51860599459223,False
CA,RandomForest_v3,0.49361404261080566,0.5233994702606644,-0.029785427649858698,-6.034153220665823,False
F,RandomForest_v3,0.34903516095819237,0.5992053661240699,-0.25017020516587757,-71.67478613876472,False
FE,RandomForest_v3,0.5537727471862998,0.7010013824790265,-0.14722863529272678,-26.586471804687104,False
AES,Ridge_v1,0.18899851046848895,0.19237295407791533,-0.0033744436094263752,-1.785433970385171,False
F,Ridge_v1,0.19393619438049928,0.23146147521859664,-0.037525280838097363,-19.349292151455465,False
CHK,Ridge_v1,0.24617860565182248,0.25066422989587045,-0.00448562424404797,-1.822101572218716,False
CNP,Ridge_v1,0.2745716982706795,0.2737323442448836,0.0008393540257959353,0.30569575490933504,True
DRE,Ridge_v1,0.32352940229359495,0.3178658450321421,0.005663557261452845,1.7505541138772007,True
AES,Ridge_v2,0.18642082617267713,0.19092210521932743,-0.004501279046650292,-2.4145794968641887,False
F,Ridge_v2,0.19455244543015177,0.22592460363328487,-0.031372158203133105,-16.1252962581734,False
CHK,Ridge_v2,0.23609218639533694,0.23791555457128571,-0.0018233681759487752,-0.7723119531349253,False
CNP,Ridge_v2,0.26682349699214536,0.2662398483061382,0.0005836486860071322,0.21873961348475743,True
DRE,Ridge_v2,0.31864376892406077,0.31274434832342946,0.005899420600631311,1.8514156484375697,True
AES,Ridge_v3,0.18627715730271488,0.190917951497876,-0.004640794195161113,-2.491338316710224,False
F,Ridge_v3,0.19480516219390373,0.22530722096872233,-0.030502058774818597,-15.65772612558269,False
CHK,Ridge_v3,0.2374040905326377,0.23690336382732824,0.0005007267053094566,0.21091747163497926,True
CNP,Ridge_v3,0.26568007778421765,0.26522050476138626,0.00045957302283139434,0.17297985858188974,True
DRE,Ridge_v3,0.3184373750868028,0.31245358097761533,0.005983794109187479,1.8791117429467434,True
